2026-05-07 12:04:31,409 | INFO     | train_all |   Split — Train: 204, Val: 25, Test: 24
2026-05-07 12:04:31,409 | INFO     | src.models.sarima_model | [SARIMA] Training for state: Connecticut
2026-05-07 12:04:31,410 | ERROR    | train_all |   [SARIMA] Failed for Connecticut: max_p must be >= start_p
2026-05-07 12:04:31,412 | INFO     | src.models.prophet_model | [Prophet] Training for state: Connecticut
2026-05-07 12:04:31,416 | ERROR    | train_all |   [Prophet] Failed for Connecticut: 'Prophet' object has no attribute 'stan_backend'
2026-05-07 12:04:31,417 | INFO     | src.models.xgboost_model | [XGBoost] Training for state: Connecticut
2026-05-07 12:04:31,988 | INFO     | src.models.xgboost_model | [XGBoost] Connecticut metrics: {'rmse': 48688427.1633, 'mae': 36146434.8896, 'mape': 62.2655}
2026-05-07 12:04:32,366 | INFO     | src.models.xgboost_model | [XGBoost] Model saved to C:\forecasting_system\artifacts\models\Connecticut_xgboost.pkl
2026-05-07 12:04:32,366 | INFO     | src.models.lstm_model | [LSTM] Training for state: Connecticut
2026-05-07 12:04:38,218 | INFO     | src.models.lstm_model | [LSTM] Connecticut — training complete.
2026-05-07 12:04:39,766 | INFO     | src.models.lstm_model | [LSTM] Connecticut metrics: {'rmse': 38403798.7382, 'mae': 34871425.9146, 'mape': 72.235}
2026-05-07 12:04:51,494 | INFO     | src.models.lstm_model | [LSTM] Model saved to C:\forecasting_system\artifacts\models\Connecticut_lstm.pkl
2026-05-07 12:04:51,494 | INFO     | train_all | ------------------------------------------------------------
2026-05-07 12:04:51,494 | INFO     | train_all | Processing state: Florida
2026-05-07 12:04:51,499 | INFO     | train_all |   Split — Train: 204, Val: 25, Test: 24
2026-05-07 12:04:51,499 | INFO     | src.models.sarima_model | [SARIMA] Training for state: Florida
2026-05-07 12:04:51,499 | ERROR    | train_all |   [SARIMA] Failed for Florida: max_p must be >= start_p
2026-05-07 12:04:51,502 | INFO     | src.models.prophet_model | [Prophet] Training for state: Florida
2026-05-07 12:04:51,503 | ERROR    | train_all |   [Prophet] Failed for Florida: 'Prophet' object has no attribute 'stan_backend'
2026-05-07 12:04:51,503 | INFO     | src.models.xgboost_model | [XGBoost] Training for state: Florida
2026-05-07 12:04:51,727 | INFO     | src.models.xgboost_model | [XGBoost] Florida metrics: {'rmse': 350288356.8331, 'mae': 224814837.95, 'mape': 97.0318}
2026-05-07 12:04:51,872 | INFO     | src.models.xgboost_model | [XGBoost] Model saved to C:\forecasting_system\artifacts\models\Florida_xgboost.pkl
2026-05-07 12:04:51,873 | INFO     | src.models.lstm_model | [LSTM] Training for state: Florida
2026-05-07 12:04:57,145 | INFO     | src.models.lstm_model | [LSTM] Florida — training complete.
2026-05-07 12:04:59,102 | INFO     | src.models.lstm_model | [LSTM] Florida metrics: {'rmse': 322445114.6505, 'mae': 296322647.7844, 'mape': 70.5885}
2026-05-07 12:05:09,307 | INFO     | src.models.lstm_model | [LSTM] Model saved to C:\forecasting_system\artifacts\models\Florida_lstm.pkl
2026-05-07 12:05:09,307 | INFO     | train_all | ------------------------------------------------------------
2026-05-07 12:05:09,307 | INFO     | train_all | Processing state: Georgia
2026-05-07 12:05:09,314 | INFO     | train_all |   Split — Train: 204, Val: 25, Test: 24
2026-05-07 12:05:09,314 | INFO     | src.models.sarima_model | [SARIMA] Training for state: Georgia
2026-05-07 12:05:09,315 | ERROR    | train_all |   [SARIMA] Failed for Georgia: max_p must be >= start_p
2026-05-07 12:05:09,316 | INFO     | src.models.prophet_model | [Prophet] Training for state: Georgia
